_times	TIMES veces
doublepower2	Este turno, tus siguientes 2 Poderes se juegan dos veces
doubleskill1	Este turno, tu siguiente Habilidad se juega dos veces
doubleskill2	Este turno, tus siguientes 2 Habilidades se juegan dos veces
doubletap1	Este turno, tu siguiente Ataque es jugado dos veces
doubletap2	Este turno, tus siguientes 2 Ataques se juegan dos veces
dragon	Dragon
draw1	Roba 1 carta
drawPlayExhaust1	Juega la carta de arriba de tu pila de robo y Agotala
drawToDmg1	Haz 1 de DMG por cada carta en tu pila de descarte
drawUntilX	Roba cartas hasta que tengas VAL en la mano
drawX	Roba VAL cartas
draw_hint	Pila de Descarte
drawless	Silencio
drawless_hint	Roba 1 carta menos el/los siguiente/s VAL turno/s
easyenemies	Los enemigos en tus primeros VAL combates tendran 1 de HP
electrodynamics_hint	Relampagos ahora golpea a TODOS los enemigos
elf_grey	Elfo Anciano
emptychest	El siguiento Cofre que no sea de jefe que abras estara vacio
energyAdd1	Gana 1 de Energia
energyAddX	Gana VAL de Energia
energyMlt2	Duplica tu Energia
energymax	Gana +VAL de Energia al inicio de cada turno
onlyKeepZero	
owned	
passive	
peekX	
petsmax	
petsmax_zero_msg	
poisonadd	
potion1	
potionX	
potion_slot_hint	
potionless_hint	
powers	
preventdmg1	
preventdmg2	
rabbit	
rebound_hint	
redeck_draw_ctype_all_false	
redeck_hand_ctype_all_false	
redeck_this_to_deck	
rehand_deck_ctype_1_true	
rehand_deck_ctype_2_true	
rehand_deck_ctype_all_false	
rehand_deck_ctype_all_false_2	
rehand_draw_ctype_all_false	
rehand_draw_energy_0_true_all	
rehand_trash_ctype_all_false	
relicstoheal	
rest_rest_voodoo	
rest_rest_voodoo_hint	
restheal	
resthealper5cards	
retaincards_hint	
revive_hint	
royalcloud	
rule_attack_hand_hint	
rule_lastcard_hint	
sadistic_hint	
saves	
set	
shield_hint	
shift_hint	
shop_remove_card_hint	
silenceskills_hint	
stat_elites1	
stat_elites2	
stat_elites3	
summoned_VAL	
summons	
summons_VAL	
summons_hint	
sync	
to_minhp	
transfer_kill_enemies	
transfer_kill_rnd	
treasureextrarelic	
tutorial_rbq_undecidedloot_1	
tutorial_rbq_undecidedloot_2	
undecidedloot	
unlimited	
unlimited_hint	
upgrade_all_ctype_1_true_all	
upgrade_all_ctype_all_false_all	
upgrade_hand_ctype_all_false	
upgrade_hand_ctype_all_false_all	
upgrade_hand_ctype_all_false_rnd	
