_times	TIMES veces
doublepower2	Este turno, tus siguientes 2 Poderes se juegan dos veces
doubleskill1	Este turno, tu siguiente Habilidad se juega dos veces
doubleskill2	Este turno, tus siguientes 2 Habilidades se juegan dos veces
doubletap1	Este turno, tu siguiente Ataque es jugado dos veces
doubletap2	Este turno, tus siguientes 2 Ataques se juegan dos veces
dragon	Dragon
draw1	Roba 1 carta
drawPlayExhaust1	Juega la carta de arriba de tu pila de robo y Agotala
drawToDmg1	Haz 1 de DMG por cada carta en tu pila de descarte
drawUntilX	Roba cartas hasta que tengas VAL en la mano
drawX	Roba VAL cartas
draw_hint	Pila de Descarte
drawless	Silencio
drawless_hint	Roba 1 carta menos el/los siguiente/s VAL turno/s
easyenemies	Los enemigos en tus primeros VAL combates tendran 1 de HP
electrodynamics_hint	Relampagos ahora golpea a TODOS los enemigos
elf_grey	Elfo Anciano
emptychest	El siguiento Cofre que no sea de jefe que abras estara vacio
energyAdd1	Gana 1 de Energia
energyAddX	Gana VAL de Energia
energyMlt2	Duplica tu Energia
energymax	Gana +VAL de Energia al inicio de cada turno
enjoing_gname	Estas disfrutando NAME?
enjoing_review	Te gustaria valorar o dejar un comentario? asi me dejas saber como va?
enlightenment_hint	Reduce el cost de las cartas en tu mano a 1 durante VAL turnos
entangled	Enredado
entangled_hint	incapaz de usar ningun Ataque por 1 turno
ethereal	Etereo
ethereal_hint	Al final del turno, esta carta se Agotara sola
event_Wound	Cuando robes una herida
event_add_pet	Cuando canalizes una mascota
event_addedCtype4	Cuando robes un estado
event_armor	Cuando ganes armadura
event_battle_start	Al comienzo de la batalla
event_battle_won	Al final de la batalla
event_card1_1_txt	Elije una Carta comun
event_card1_rnd_txt	Obten una Carta comun aleatoria
event_card2_1_txt	Elije una Carta poco comun
event_card2_rnd_txt	Obten una Carta poco comun aleatoria
event_card3_1_txt	Elije una Carta rara
event_card3_rnd_txt	Obten una Carta rara aleatoria
event_cardNone1_1_txt	Elije una Carta sin color comun
event_cardNone1_rnd_txt	Obten una Carta sin color comun aleatoria
event_cardNone2_1_txt	Elije una Carta sin color poco comun
event_cardNone2_rnd_txt	Obten una Carta sin color poco comun aleatoria
event_cardNone3_1_txt	Elije una Carta sin color rara
event_cardNone3_rnd_txt	Obten una Carta sin color rara aleatoria
event_card_txt	Agrerar VAL
event_consume	Cuando consumas un Cofre
event_curse_3_txt	Obten 3 Maldiciones
event_cursed	Cada vez que seas Maldito
event_death	Cuando mueras
event_debuff	Cada vez que apliques un debuff
event_discard	Cada vez que Descartes una carta
event_dmg	Si te atacan
event_dmg_txt	Obten VAL daño
event_dublicate_1_txt	Duplica una carta en tu mazo
event_empty_hand	Cuando no tengas cartas en mano
event_enemy_played_1	Cada vez que juegues un Ataque
event_enemy_played_2	Cada vez que juegues un Ataque
event_enemy_played_3	Cada vez que juegues un Ataque
event_enemy_played_any	
event_exhausted	Cada vez que Agotes una carta
event_harm	Cada vez que te hagas Daño a ti mismo
event_heal_txt	Curate por VAL HP
event_hpmax_txt	VAL HP maxim
event_kill	
event_loserelics0_1_txt	
event_money_txt	
event_moneylose_txt	
event_played_1	
event_played_2	
event_played_3	
event_played_any	
event_played_cards_5	
event_played_ctype1_x3	
event_played_ctype2_x3	
event_played_not_1	
event_potion_1_txt	
event_potion_2_txt	
event_potion_3_txt	
event_potion_used	
event_quest	
event_randomrelic_boots_txt	
event_relic1_1_txt	
event_relic2_1_txt	
event_relic3_1_txt	
event_relic4_1_txt	
event_relic_1_txt	
event_relic_txt	
event_removecard_1_txt	
event_removecard_2_txt	
event_removecard_specific_txt	
event_removecurses_all_txt	
event_samecardinhand	
event_search_txt	
event_shuffle	
event_transform_1_txt	
event_transform_2_txt	
event_turn	
event_turnEnd	
event_udmg	
event_unblocked_dmg	
event_upgrade_1_txt	
event_upgrade_2_txt	
event_upgrade_specific_txt	
event_upgraderandom_1_txt	
event_upgraderandom_2_txt	
event_voodoo	
eventburned	
evoke1	
evokePassive1	
evokePassiveX	
evokeReSummon	
evokeX	
exhaust	
exhaust_fail	
exhaust_hand_ctype_4_true_rnd	
exhaust_hand_ctype_all_false	
exhaust_hand_ctype_all_false_3	
exhaust_hand_ctype_all_false_5	
exhaust_hand_ctype_all_false_rnd	
exhaust_hint	
extrax_hint	
for_each	
for_each_card	
for_each_enemy	
fox	
frail	
frail_hint	
frozen	
frozen_hint	
getAddDmgByAttr_handctype1	
grim_reaper	
hand_discard_1_false	
hand_discard_1_true	
hand_discard_all_false	
hand_exhaust_1_false	
hand_exhaust_4_true	
hand_exhaust_all_false	
hand_hint	
harm	
harm_times	
hero_blood_mage	
hero_blood_mage_hint	
hero_demon	
hero_demon_hint	
hero_frontier	
hero_frontier_hint	
hero_miss_fortune	
hero_miss_fortune_hint	
hero_shaman	
hero_shaman_hint	
hero_shiva	
hero_shiva_hint	
hero_sila	
hero_sila_hint	
hiddennoenemies_hint	
hiddentreasure	
ifTargetCONequalVAL	
ifTargetHaveMoreCONThenVAL	
ifTargetHpLess	
ifTargetIntend_dmg	
if_draw_card	
innate	
innate_hint	
intangible	
intangible_hint	
intend_dmg	
item_rarity0	
item_rarity0_hint	
item_rarity1	
item_rarity1_hint	
item_rarity2	
item_rarity2_hint	
item_rarity3	
item_rarity3_hint	
item_rarity4	
item_rarity4_hint	
item_rarity5	
item_rarity5_hint	
item_rarity6	
item_rarity6_hint	
later	
lifelink	
lives	
lives_hint	
lockon	
lockon_hint	
login_hpmax	
login_money	
lose_stuff	
missing_hp_to_dmg	
missing_string	
money_bonus	
money_heals	
more	
moregames_opens_browser_getit	
next_turn	
no_card_to_upgrade	
noresttrue	
nosmithtrue	
not_enought_energy	
nulify	
onConditions_add_voodoo_true	
onConditions_play_voodoo_true	
onConditions_purge_voodoo_true	
onConditions_voodoo_true	
onDiscard	
onDraw	
onExhaust	
onPet	
onPettrue	
one_of_the_skulls_stuck	
owned	
pain	
pets	
pick_one_hint	
played_1	
played_2	
played_3	
poisonMlt2	
poisonMlt3	
poisonadd	
potion_slot	
potion_slot_hint	
potionless	
potionless_hint	
preventdmg1	
preventdmg2	
quest_curse3	
quest_relic3	
quest_upgradeattacks2	
quest_upgradeskills2	
question_victory	
ram	
ram_red	
redeck_draw_ctype_all_false	
redeck_hand_ctype_all_false	
redeck_this_to_deck	
refund_card	
rehand_deck_ctype_1_true	
rehand_deck_ctype_2_true	
rehand_deck_ctype_all_false	
rehand_deck_ctype_all_false_2	
rehand_draw_ctype_all_false	
rehand_draw_energy_0_true_all	
rehand_trash_ctype_all_false	
relic_names	
relic_names_hint	
relicstoheal	
remove_card_hint	
removeatrest	
removing_by_name	
removing_not_possible	
resize	
rest	
rest_brew	
rest_brew_hint	
rest_extra	
rest_remove	
rest_remove_hint	
rest_rest_lift	
rest_rest_lift_hint	
rest_rest_poisonadd	
rest_rest_poisonadd_hint	
rest_rest_voodoo	
rest_rest_voodoo_hint	
rest_skull	
rest_skull_hint	
rest_sleep	
rest_sleep_hint	
rest_smith	
rest_smith_hint	
restheal	
resthealper5cards	
retaincards_hint	
retainhand_hint	
revive_hint	
royal_booty_quest	
rule_attack_hand_hint	
rule_lastcard_hint	
rule_unplayable_hint	
rune_poison	
sadistic_hint	
scrap_hint	
set	
sheep	
shield_hint	
shift	
shift_hint	
shop_remove_card_hint	
show	
skull_key	
spike	
spike_hint	
stat_bosses	
stat_elites1	
stat_elites2	
stat_elites3	
stat_floors	
stat_kills	
stat_skulls	
str	
strAddOnce	
strNext	
strRmvOnce	
strX_hint	
str_hint	
str_times	
summons_VAL	
to_enemies	
to_enemy	
to_rnd	
to_rndmiss	
too_much_potions	
total	
transfer_kill_enemies	
transfer_kill_rnd	
trash_hint	
treasure	
treasureextrarelic	
turn	
turn_enemy	
turn_player	
turnfalse	
turntrue	
tutorial_rbq_1	
tutorial_rbq_2	
tutorial_rbq_3	
tutorial_rbq_welcome_1	
tutorial_rbq_welcome_2	
undecidedloot	
unknown	
unlimited	
unlimited_hint	
upgrade_all_ctype_1_true_all	
upgrade_all_ctype_all_false_all	
upgrade_hand_ctype_all_false	
upgrade_hand_ctype_all_false_all	
upgrade_hand_ctype_all_false_rnd	
vamp_hint	
voodoo	
voodoo_hint	
vulnerable	
vulnerable_hint	
warning_loot	
weak	
weak_hint	
witch_red	
wristblade_hint	
