Living Wall	In your scouting the ruins of a castle you have came across the mural in the wall picturing an overwordly figure. %e Suddenly the figure comes to life and exclaims: "What do you want to do with your life?!"  You answer: "To  ..."			
[Forget]	Remove a card in your deck			
[Change]	Transform a card in your deck			
[Grow]	Upgrade a card in your deck			
				
Ominous Forge	Another crack in the fabric of reality! You found yourself in the forge of a fire demon. Good thing he is currently absent, so you are quickly decided to ...			
[Forge]	Upgrade a card in your deck			
[Rummage]	Receive a random Relic			
[Leave]				
				
Shining Light	The insides of the ruined church of deer god  looks ominous. However there is a strange light coming from the crashed ceiling. 			
[Enter]	Get 15 dmg, Upgrade two random cards			
[Leave]				
				
Scrap Ooze	You see something glitters in a big pile of scrap. You stretch your hand to pick it up and a drop of acidic slime drips onto you from one of the metal beam above your head.			
[Reach Inside]	Get 3 dmg			
[Leave]				
				
The Cleric	With the aching stomach and the bleeding foot you have managed to limp to the nearest church. %e The local cleric has agreed to heal you for a modest offering in gold coins.			
[Heal]	Heal for 20 HP, Lose 35 Gold			
[Purify]	Lose 50 Gold: Remove a card in your deck			
[Leave]				
				
The Divine Fountain	The wavering muddy water in the bowl of this half ruined fountain does look sketchy. %e The placard nearby, however, says: "This is totally a blessed water!"			
[Drink]	Remove all Curses			
[Leave]				
				
The Woman in Blue	You have decided to visit a local alchemy shop. An enigmatic woman inside for a fee lets you pick few random vials from the shelf in a dark corner. 			
[Buy A]	Lose 20 Gold, Pick 1 random potion			
[Buy B]	Lose 30 Gold, Pick 2 random potion			
[Buy C]	Lose 40 Gold, Pick 3 random potion			
[Leave]				
				
Vampires Court	During your sleep you was whisked away by the servants of the infamous count. %e As you came to your senses you were offered to become a count's "childe". %e  You may try to offer him a keg of wine you had found in your adventures to avert being "sired".			
[Offer]	Lose "dwarf keg": Remove all copies of Strike, Add Bite x5			
[Accept]	Lose 20% hpmax: Remove all copies of Strike, Add Bite x5			
[Refuse]				
				
Council of Ghosts	A group of ghosts who were adventurers , just like you, propose to you to partake in a dark ritual which will give them a final rest.			
[Accept]	Lose 50% hpmax: Add Apparition x5			
[Refuse]				
				
Bonfire Spirits	As you traveled through the forest you have stumbled across the bonfire. The blue flame doesn't hurt you! %e  You feel like make an offering to forest spirits.			
[Offer]	Remove a card in your deck			
[Leave]				
				
Bullies	A group of ogres approached you and demanded a payment for a pass across the street.			
[Pay Up]	Lose 100 Gold			
[Fight]				
				
Cursed Tome	In ancient catacombs you have found a "Tome of Evil Intent".  			
[Read]				
[Leave]				
				
Addicted	A gray-faced woman, who looks like a total junkie, begs you for some gold in exchange of one of her item.			
[Give]	Lose 85 Gold: Receive a random Relic			
[Card]	Lose JAX card: Receive a random Relic			
[Leave]				
				
Dealer	A shady man under the birch tree offers you some bootleg wares.			
[Pay]	Lose 77 Gold: Add JAX			
[Decline]				
				
The Nest	What do you know, pixies have built a nest with a altar inside! Whoever offers enough blood drops to pixie's goddess will get a reward.			
[Smash and Grab]	Gain 99 Gold			
[Stay in Line]	Get 6 dmg, Add Ritual Dagger			
